"","무인교통단속카메라관리번호","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소"
"8087","G1631","경상남도","김해시","시도","","김해대로",1,"경상남도 김해시 진영읍 김해대로 263","경상남도 김해시 진영읍 진영리 1350-5"
"8088","G1632","경상남도","거창군","군도","","강남로",1,"경상남도 거창군 거창읍 강남로1길 93-7","경상남도 거창군 거창읍 송정리 221-4"
"8089","G1673","경상남도","밀양시","일반국도","58번","삼랑진로",1,"경상남도 밀양시 삼랑진읍 삼랑진로 206","경상남도 밀양시 삼랑진읍 송지리 430-5"
"8090","G1674","경상남도","함양군","일반국도","24번","함양로",2,"경상남도 함양군 함양읍 함양로 885","경상남도 함양군 함양읍 난평리 214-3"
"8091","G1675","경상남도","함양군","일반국도","26번","육십령로",3,"경상남도 함양군 서하면 서하월평샛길 3","경상남도 함양군 서하면 봉전리 1393-3"
"8092","G1676","경상남도","통영시","일반국도","77번","안정로",1,"","경상남도 통영시 광도면 우동리 261-3"
"8093","G1677","경상남도","마산합포구","시도","","무학로",1,"경상남도 창원시 마산합포구 무학로 155","경상남도 창원시 마산합포구 월영동 177"
"8094","G1678","경상남도","마산합포구","시도","","무학로",1,"경상남도 창원시 마산합포구 무학로 155","경상남도 창원시 마산합포구 월영동 207"
"8095","G1679","경상남도","고성군","일반국도","14번","남해안대로",2,"경상남도 고성군 회화면 삼덕2길 3","경상남도 고성군 회화면 삼덕리 1232"
"8096","G1680","경상남도","고성군","일반국도","33번","상정대로",2,"경상남도 고성군 상리면 무선5길 10","경상남도 고성군 상리면 오산리 73-2"
"8097","G1765","경상남도","의창구","시도","","의창대로",3,"경상남도 창원시 의창구 동읍 의창대로 902","경상남도 창원시 의창구 동읍 용잠리 225-1"
"8098","G1766","경상남도","김해시","지방도","1042번","서부로",2,"경상남도 김해시 서부로 1112-5","경상남도 김해시 부곡동 33-20"
"8099","G1767","경상남도","하동군","일반국도","19번","섬진강대로",1,"","경상남도 하동군 금남면 대송리 319-2"
"8100","G1862","경상남도","남해군","일반국도","3번","동부대로",3,"경상남도 남해군 삼동면 동부대로 1292","경상남도 남해군 삼동면 동천리 1029-5"
"8101","G1863","경상남도","남해군","군도","","화전로",3,"경상남도 남해군 남해읍 화전로 25","경상남도 남해군 남해읍 남변리 654"
"8102","G1864","경상남도","남해군","일반국도","19번","남해대로",2,"경상남도 남해군 상주면 남해대로 708","경상남도 남해군 상주면 상주리 1023-1"
"8103","G1893","경상남도","창녕군","일반국도","20번","명덕로",1,"경상남도 창녕군 창녕읍 명덕로 71","경상남도 창녕군 창녕읍 교리 254-1"
"8104","G1894","경상남도","창녕군","일반국도","20번","명덕로",2,"경상남도 창녕군 창녕읍 명덕로 71","경상남도 창녕군 창녕읍 교리 254-1"
"8105","G1895","경상남도","창녕군","일반국도","20번","창밀로",3,"경상남도 창녕군 창녕읍 창밀로 139","경상남도 창녕군 창녕읍 도야리 395-2"
"8106","G1896","경상남도","창녕군","일반국도","20번","우포1대로",3,"경상남도 창녕군 유어면 우포1대로 291","경상남도 창녕군 유어면 가항리 1120"
"8107","G1897","경상남도","창녕군","일반국도","20번","우포1대로",3,"경상남도 창녕군 유어면 마수원길 39","경상남도 창녕군 유어면 부곡리 46-11"
"8108","G1037","경상남도","마산합포구","일반국도","5번","가포로",2,"경상남도 창원시 마산합포구 현동3길 1","경상남도 창원시 마산합포구 우산동 144"
"8109","G1038","경상남도","밀양시","시도","","활성로",3,"","경상남도 밀양시 활성동 555-19"
"8110","G1117","경상남도","마산회원구","시도","","삼호로",2,"경상남도 창원시 마산회원구 회성동4길 1","경상남도 창원시 마산회원구 회성동 469-13"
"8111","G1118","경상남도","김해시","지방도","1042번","서부로",1,"경상남도 김해시 진례면 서부로 614","경상남도 김해시 진례면 송정리 268-2"
"8112","G1119","경상남도","김해시","지방도","1042번","서부로",2,"경상남도 김해시 진례면 서부로 614","경상남도 김해시 진례면 송정리 268-2"
"8113","G1161","경상남도","김해시","시도","","삼안로",1,"경상남도 김해시 삼안로 169-1","경상남도 김해시 삼방동 199-5"
"8114","G1162","경상남도","김해시","일반국도","58번","생림대로",2,"경상남도 김해시 김해대로 1784-7","경상남도 김해시 삼계동 1155-24"
"8115","G1163","경상남도","김해시","시도","","장등로",1,"경상남도 김해시 진영읍 장등로122번길 76","경상남도 김해시 진영읍 진영리 1784"
"8116","G1164","경상남도","김해시","시도","","율하3로",2,"경상남도 김해시 율하3로 110","경상남도 김해시 관동동 1136"
"8117","G1165","경상남도","김해시","지방도","1042번","신천로",2,"경상남도 김해시 주촌면 선천로 63-4","경상남도 김해시 주촌면 선지리 750-24"
"8118","G1166","경상남도","거창군","군도","","강남로",2,"경상남도 거창군 거창읍 송정2길 33","경상남도 거창군 거창읍 송정리 309-2"
"8119","G1167","경상남도","거창군","지방도","1089번","창동로",1,"경상남도 거창군 거창읍 동동6길 6","경상남도 거창군 거창읍 대동리 83-3"
"8120","G1168","경상남도","거창군","지방도","1084번","수남로",1,"경상남도 거창군 거창읍 수남로 2218","경상남도 거창군 거창읍 김천리 463"
"8121","G1169","경상남도","고성군","지방도","1009번","거류로",3,"","경상남도 고성군 거류면 은월리 546-2"
"8122","G1170","경상남도","함양군","일반국도","3번","거함대로",1,"경상남도 함양군 수동면 거함대로 621","경상남도 함양군 수동면 원평리 714-13"
"8123","G1171","경상남도","함양군","일반국도","3번","거함대로",2,"경상남도 함양군 수동면 거함대로 621","경상남도 함양군 수동면 원평리 371"
"8124","G1172","경상남도","양산시","지방도","60번","동서로",1,"","경상남도 양산시 신기동 산 44-1"
"8125","G1173","경상남도","양산시","지방도","60번","동서로",1,"","경상남도 양산시 명곡동 산 123-3"
"8126","G1307","경상남도","진주시","일반국도","3번","순환로",1,"경상남도 진주시 새평거로 136","경상남도 진주시 평거동 921"
"8127","G1308","경상남도","하동군","일반국도","19번","섬진강대로",2,"경상남도 하동군 금남면 섬진강대로 731","경상남도 하동군 금남면 덕천리 1051-10"
"8128","G1363","경상남도","하동군","일반국도","19번","섬진강대로",2,"경상남도 하동군 금남면 섬진강대로 957","경상남도 하동군 금남면 계천리 374"
"8129","G1364","경상남도","김해시","지방도","1042번","서부로",1,"경상남도 김해시 진례면 서부로 913","경상남도 김해시 진례면 산본리 222"
"8130","G1365","경상남도","진주시","일반국도","3번","순환로",2,"경상남도 진주시 새평거로 136","경상남도 진주시 평거동 921"
"8131","G1366","경상남도","진주시","시도","","동부로",1,"경상남도 진주시 문산읍 동부로303번길 3","경상남도 진주시 문산읍 옥산리 1382"
"8132","G1367","경상남도","진주시","시도","","동부로",2,"경상남도 진주시 문산읍 동부로303번길 3","경상남도 진주시 문산읍 옥산리 1382"
"8133","G0736","경상남도","마산합포구","일반국도","5번","가포로",2,"경상남도 창원시 마산합포구 현동6길 12","경상남도 창원시 마산합포구 현동 1403"
"8134","G0737","경상남도","마산합포구","시도","","해안대로",2,"경상남도 창원시 마산합포구 해안대로 467","경상남도 창원시 마산합포구 산호동 322-2"
